开始 10000 代进化 (K=2)...
Generation 3850 | Avg Best Fitness (K=2): -174753400.00 | Avg Violations: 60.50
Generation 3900 | Avg Best Fitness (K=2): -174612600.00 | Avg Violations: 60.50
Generation 3950 | Avg Best Fitness (K=2): -174463400.00 | Avg Violations: 60.50
Generation 4000 | Avg Best Fitness (K=2): -174052600.00 | Avg Violations: 60.00
Generation 4050 | Avg Best Fitness (K=2): -173941000.00 | Avg Violations: 60.00
Generation 4100 | Avg Best Fitness (K=2): -173796400.00 | Avg Violations: 60.00
Generation 4150 | Avg Best Fitness (K=2): -173535600.00 | Avg Violations: 60.00
Generation 4200 | Avg Best Fitness (K=2): -173193600.00 | Avg Violations: 59.50
Generation 4250 | Avg Best Fitness (K=2): -172923600.00 | Avg Violations: 59.00
Generation 4300 | Avg Best Fitness (K=2): -172843600.00 | Avg Violations: 59.00
Generation 4350 | Avg Best Fitness (K=2): -172644000.00 | Avg Violations: 59.00
Generation 4400 | Avg Best Fitness (K=2): -172433200.00 | Avg Violations: 59.00
Generation 4450 | Avg Best Fitness (K=2): -172338200.00 | Avg Violations: 59.00
Generation 4500 | Avg Best Fitness (K=2): -172208200.00 | Avg Violations: 59.00
Generation 4550 | Avg Best Fitness (K=2): -171812000.00 | Avg Violations: 58.50
Generation 4600 | Avg Best Fitness (K=2): -171641600.00 | Avg Violations: 58.50
Generation 4650 | Avg Best Fitness (K=2): -171531600.00 | Avg Violations: 58.50
Generation 4700 | Avg Best Fitness (K=2): -171401200.00 | Avg Violations: 58.50
Generation 4750 | Avg Best Fitness (K=2): -171130800.00 | Avg Violations: 58.00
Generation 4800 | Avg Best Fitness (K=2): -170815800.00 | Avg Violations: 57.50
Generation 4850 | Avg Best Fitness (K=2): -170710000.00 | Avg Violations: 57.50
Generation 4900 | Avg Best Fitness (K=2): -170620000.00 | Avg Violations: 57.50
Generation 4950 | Avg Best Fitness (K=2): -170424600.00 | Avg Violations: 57.50
Generation 5000 | Avg Best Fitness (K=2): -170116200.00 | Avg Violations: 57.00
